pregame_total,inning,favorite_strength_bucket,mean_favorite_novig_prob,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
8.0,3,65-70%,0.6716239238671528,186,53.76344086021505,75.80645161290323,72.58064516129032,55.02081165452653,-1.2573707943114854,-0.06581448259990073,0.8924731182795699,50.0,20.930232558139537,7.872456629467782
8.5,3,50-55%,0.5224312538673268,1052,52.09125475285171,74.1444866920152,71.29277566539925,52.859662565600196,-0.7684078127484839,-0.03879335984862757,1.0332699619771863,57.341269841269835,30.753968253968257,2.4410776479817846
8.5,3,55-60%,0.574447599467658,915,50.7103825136612,72.02185792349727,69.94535519125684,50.37594433993251,0.33443817372869056,0.016249462781743284,1.1191256830601093,61.4190687361419,30.376940133037696,2.141262819702293
8.5,3,60-65%,0.6230576499017262,541,53.23475046210721,74.67652495378928,69.31608133086876,51.76284077203508,1.4719096900721262,0.07339306935458625,1.0628465804066543,58.498023715415016,33.201581027667984,5.982683209243744
8.5,3,65-70%,0.6705670558488015,259,49.80694980694981,75.67567567567568,65.25096525096525,49.3791088385683,0.4278409683815043,0.020942039736200953,1.162162162162162,56.15384615384615,29.230769230769234,13.90397367158859
9.0,3,50-55%,0.5224164428949932,665,50.225563909774436,72.78195488721805,68.7218045112782,50.01707275708067,0.20849115269376828,0.010103670748353387,1.0992481203007518,54.98489425981873,29.305135951661633,6.892562361181273
9.0,3,55-60%,0.57272498458952,583,50.08576329331046,72.5557461406518,68.61063464837049,49.78095790096178,0.3048053923486782,0.014718855437703519,1.0566037735849056,55.670103092783506,28.1786941580756,4.167609095785427
9.0,3,60-65%,0.6225784305894491,353,47.875354107648725,67.42209631728045,71.95467422096317,48.51334975804316,-0.6379956503944351,-0.030303673234907798,1.1841359773371105,55.434782608695656,34.78260869565217,7.598193066489258
9.0,3,65-70%,0.6701180590294172,182,54.94505494505495,74.72527472527473,72.52747252747253,54.196353097452,0.7487018476029506,0.03859502646172398,0.9340659340659341,47.5609756097561,26.82926829268293,3.629684843893171
9.5,3,50-55%,0.5229071572822487,330,55.15151515151515,74.54545454545455,73.63636363636363,54.892561983471076,0.25895316804407376,0.013492087486937455,0.9636363636363636,54.054054054054056,30.405405405405407,3.6711625173509317
9.5,3,55-60%,0.5734233781382506,284,50.0,72.53521126760563,69.71830985915493,50.570323348541955,-0.5703233485419568,-0.027809622871308094,1.1126760563380282,59.154929577464785,30.985915492957744,9.58059379884361
9.5,3,60-65%,0.6233701622375828,168,52.976190476190474,71.42857142857143,72.61904761904762,51.87074829931972,1.1054421768707523,0.05487626202647711,1.0654761904761905,58.22784810126582,34.177215189873415,7.0421454746048395
7.0,4,50-55%,0.5221921261378533,220,60.909090909090914,75.9090909090909,80.0,60.72727272727273,0.181818181818183,0.010629279561748656,0.7545454545454545,48.837209302325576,17.441860465116278,4.010154537332579
7.0,4,55-60%,0.5738164094215192,221,60.633484162895925,79.18552036199095,77.37556561085974,61.270244261993,-0.6367600990970779,-0.03748688824327533,0.8009049773755657,55.172413793103445,26.436781609195403,6.799122059815965
7.0,4,60-65%,0.6245331784667764,127,59.84251968503938,77.95275590551181,77.16535433070865,60.1525203050406,-0.3100006200012273,-0.017813996168515204,0.7401574803149606,49.01960784313725,21.568627450980394,15.18113634308626
7.5,4,50-55%,0.5230866177842145,545,57.247706422018354,74.31192660550458,75.77981651376146,56.313441629492466,0.9342647925258851,0.04991251647820068,0.9100917431192661,56.22317596566524,28.32618025751073,6.288670567623209
7.5,4,55-60%,0.5741877077848376,512,58.7890625,75.0,79.8828125,59.912109375,-1.123046875,-0.06469741702920044,0.859375,52.60663507109005,28.436018957345972,2.938493689354476
7.5,4,60-65%,0.6223500169966041,312,51.92307692307693,74.35897435897436,71.15384615384616,52.909270216962526,-0.9861932938855955,-0.049852220257017944,0.9615384615384616,51.33333333333333,25.333333333333336,5.648747058452534
7.5,4,65-70%,0.6716788657374662,182,53.84615384615385,79.67032967032966,68.68131868131869,54.7186330153363,-0.8724791691824607,-0.046743426536047364,0.9560439560439561,52.38095238095239,27.380952380952383,4.009193195294709
