pregame_total,inning,season,n,mean_runs,p0_under_pct,poisson_zero_residual_pp,nb_zero_residual_pp
7.5,6,2024,366,0.9262295081967213,53.825136612021865,14.220718608166194,2.62510754394486
7.5,6,2025,224,0.8125,58.48214285714286,14.107411849034873,2.9985832831291193
7.5,7,2021,269,1.1226765799256506,49.814126394052046,17.273361556067396,2.694856276750679
7.5,7,2022,476,0.9159663865546218,53.36134453781513,13.348368620808577,2.549245439611414
7.5,7,2023,275,0.9309090909090909,53.090909090909086,13.671390273940782,-1.6983209026650292
7.5,7,2024,366,0.8633879781420765,59.2896174863388,17.116533056050585,2.378429201788601
7.5,7,2025,224,0.8660714285714286,53.57142857142857,11.51136181617849,2.892102781098349
7.5,8,2021,268,0.917910447761194,55.970149253731336,16.034885447938947,0.025160431040405218
7.5,8,2022,476,0.8151260504201681,57.98319327731093,13.724839676861912,-0.5899319166925765
7.5,8,2023,275,1.08,52.0,18.040447435506092,3.8358557809801743
7.5,8,2024,366,0.9371584699453552,56.284153005464475,17.11021354451832,1.5989736390059073
7.5,8,2025,224,0.7678571428571429,62.5,16.09936970281758,1.3535475746597636
7.5,9,2021,268,0.6753731343283582,64.55223880597015,13.655591575086579,1.6611964493193354
7.5,9,2022,475,0.6547368421052632,66.3157894736842,14.357911888236686,2.0734578161832884
7.5,9,2023,275,0.7127272727272728,64.36363636363637,15.333118721889754,1.4262323426173507
7.5,9,2024,365,0.6493150684931507,66.3013698630137,14.061023378666459,2.4617496720267473
7.5,9,2025,224,0.6026785714285714,66.07142857142857,11.337071375329854,0.5158784152394791
8.0,1,2021,363,1.118457300275482,47.107438016528924,14.429084533293318,0.5118396721594975
8.0,1,2022,443,0.909706546275395,56.43340857787811,16.169172217895866,2.6047970203996518
8.0,1,2023,372,0.9139784946236559,55.64516129032258,15.552564789017959,1.2670127106187423
8.0,1,2024,589,0.9592529711375212,53.65025466893039,15.332352181342856,2.474142574961402
8.0,1,2025,379,0.9868073878627969,51.71503957783641,14.438550878747463,-0.9965395218060502
8.0,2,2021,363,0.8292011019283747,58.40220385674931,14.7624254123278,1.2675469405682982
8.0,2,2022,443,0.8216704288939052,60.722347629796836,16.752691742002785,2.353359476534944
8.0,2,2023,372,0.9758064516129032,56.98924731182796,19.300418431379157,1.6496265397234144
8.0,2,2024,589,0.9151103565365025,55.178268251273344,15.131025361081246,2.0855859282641664
8.0,2,2025,379,0.8073878627968337,58.31134564643799,13.709184092289789,1.5074733482346225
8.0,3,2021,363,0.9944903581267218,53.71900826446281,16.727816352850926,3.3152527236902207
8.0,3,2022,443,0.8893905191873589,54.627539503386004,13.536927919161169,1.6793662081932559
8.0,3,2023,372,1.075268817204301,53.2258064516129,19.10520435931076,3.571824868330953
8.0,3,2024,589,0.9286926994906621,53.82003395585738,14.313049162049907,1.410210311687432
8.0,3,2025,379,0.899736147757256,55.4089709762533,14.74127615518504,1.2714465143045084
8.0,4,2021,363,0.9504132231404959,54.54545454545454,15.887329932619688,2.7692149125938648
8.0,4,2022,443,0.9571106094808126,55.75620767494357,17.356126385375383,0.37449403820518645
8.0,4,2023,372,0.9193548387096774,54.03225806451613,14.154634754563771,1.5074361596504215
8.0,4,2024,589,0.9830220713073005,54.49915110356537,17.081291697037226,2.93926865218771
8.0,4,2025,379,0.9841688654353562,50.65963060686016,13.284657186385274,1.7853851944334642
8.0,5,2021,363,1.1487603305785123,47.38292011019284,15.679966340101803,1.5195109787322802
8.0,5,2022,443,0.8623024830699775,54.401805869074494,12.182917908206154,-0.7092363946429425
8.0,5,2023,372,0.967741935483871,55.91397849462365,17.919978571319746,3.659388436415223
8.0,5,2024,589,1.0016977928692699,52.29202037351443,15.566481574924683,1.532250649276512
8.0,5,2025,379,1.007915567282322,53.825857519788926,17.327961387870566,0.7379749581436612
8.0,6,2021,363,0.931129476584022,54.82093663911846,15.410104362180432,3.438250541435872
8.0,6,2022,443,0.9255079006772009,56.659142212189614,17.026135048660407,1.2396805213576
8.0,6,2023,372,1.021505376344086,48.38709677419355,12.381845028399429,1.7052308761599355
8.0,6,2024,588,0.9285714285714286,54.421768707483,14.909992574794268,1.9383502749496628
