n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,clean_i1_i8,target_cell,seasons,season_p0_sd_pp,season_nb_residual_mean_pp,season_nb_residual_sd_pp
1612,0.4218362282878412,0.8473937708033943,75.74441687344913,13.895781637717123,10.359801488833748,1.7391304347826086,42.710997442455245,65.58414388740523,10.160272986043895,74.70089889945878,1.0435179739903488,7.5,3,top,True,False,5,2.6464951761321074,0.9944570818231435,1.4827659856533464
2146,0.461789375582479,0.8892152581807755,73.57875116495805,14.585274930102516,11.835973904939422,1.747795414462081,44.79717813051146,63.015505200599776,10.56324596435828,72.11524847726574,1.4635026876923196,8.0,3,top,True,True,5,1.3483129485238101,1.474827709982487,0.42876857331789314
2871,0.48589341692789967,1.0373444889845227,73.8070358760014,13.514454893765237,12.678509230233367,1.8550531914893618,48.40425531914894,61.514736811591895,12.292299064409494,72.27396633541504,1.5330695405863515,8.5,3,top,True,True,5,1.1202577932663647,1.625759321888074,0.4540458403154543
1839,0.533442088091354,1.1706710073897615,71.94127243066885,15.116911364872212,12.941816204458945,1.9011627906976745,46.12403100775194,58.658242241156714,13.283030189512136,70.39925808933278,1.5420143413360732,9.0,3,top,True,False,5,2.520331938469371,1.6040643463465254,0.9809673154816335
875,0.5394285714285715,1.2144047074207256,72.22857142857143,14.057142857142857,13.714285714285715,1.9423868312757202,49.382716049382715,58.308134653604306,13.920436774967126,70.48020147326345,1.7483699553079823,9.5,3,top,True,False,5,4.853549595983794,1.90964352432619,0.4326615243217833
655,0.41068702290076337,0.7959100777365362,76.4885496183206,13.435114503816795,10.076335877862595,1.7467532467532467,42.857142857142854,66.31944638021308,10.169103238107535,74.84917480271302,1.639374815607586,7.0,3,bottom,True,False,5,2.896651217268447,2.183438558916273,1.6077448849613796
1612,0.478287841191067,0.9200745341040889,73.20099255583126,14.01985111662531,12.779156327543426,1.7847222222222223,47.68518518518518,61.98437547370729,11.216617082123982,71.26466190160225,1.9363306542290126,7.5,3,bottom,True,False,5,0.7668091946769747,2.2255720804002155,0.7080558250496443
2146,0.4902143522833178,1.046291142842867,73.53215284249767,13.839701770736253,12.628145386766077,1.852112676056338,47.7112676056338,61.24950903911386,12.282643803383808,72.06204239507741,1.4701104474202475,8.0,3,bottom,True,True,5,2.2831051356788357,1.5467003463258955,0.5274564338737386
2871,0.593521421107628,1.3660764802901053,69.66213862765586,14.872866597004528,15.464994775339601,1.9563719862227325,50.97588978185993,55.23786978446164,14.424268843194232,68.37834088591912,1.2837977417367585,8.5,3,bottom,True,True,5,1.3440706923698793,1.455723808475795,0.6881177353550483
1839,0.5584556824361065,1.1237573526322733,69.65742251223492,15.551930396954866,14.790647090810221,1.8405017921146953,48.74551971326165,57.20918735325695,12.44823515897796,67.99232257081894,1.6650999414159706,9.0,3,bottom,True,False,5,1.266293238965146,1.809417354834053,0.5009715437877552
875,0.5394285714285715,1.0976999019287348,70.62857142857143,15.657142857142858,13.714285714285715,1.8365758754863812,46.69260700389105,58.308134653604306,12.320436774967124,69.05214642319709,1.576425005374349,9.5,3,bottom,True,False,5,2.1091699401110438,1.8705281933264573,1.3251510100416366
655,0.40458015267175573,0.8039545252935546,77.25190839694656,11.297709923664122,11.450381679389313,1.778523489932886,50.33557046979866,66.72568980833364,10.526218588612924,75.46934327382256,1.7825651231240025,7.0,4,top,True,False,5,3.023949809258138,1.8353480104573983,1.1806063281139876
1612,0.4466501240694789,0.9499763567163099,75.18610421836229,13.771712158808933,11.042183622828784,1.8,44.5,63.97677084436808,11.209333373994202,74.14744564441959,1.0386585739426968,7.5,4,top,True,False,5,1.7791029657083832,1.1329284628589553,1.040868192414895
2146,0.4771668219944082,1.0039073073555833,73.76514445479962,14.445479962721341,11.78937558247903,1.8188277087033748,44.93783303730018,62.053900110451565,11.71124434434806,72.50539516333906,1.2597492914605657,8.0,4,top,True,False,5,1.261472874766994,1.240225301128024,0.5783834192352695
2871,0.47579240682688956,1.005598457238491,73.24973876698014,15.151515151515152,11.598746081504702,1.7786458333333333,43.359375,62.139246569265715,11.110492197714429,72.6322001775998,0.6175385893803398,8.5,4,top,True,False,5,1.5792080054998567,0.492076312611085,1.231570865336799
1839,0.524741707449701,1.1156824006044823,71.77814029363785,15.062533985861881,13.159325720500274,1.859344894026975,46.628131021194605,59.170817844503986,12.607322449133862,70.36461481401889,1.413525479618949,9.0,4,top,True,False,5,2.2518350407805934,1.6647252722549077,0.965525620505737
875,0.5645714285714286,1.0516037920889179,68.22857142857143,15.771428571428572,16.0,1.776978417266187,50.35971223021583,56.86037818813768,11.368193240433744,66.55947258347925,1.6690988450921762,9.5,4,top,True,False,5,5.019950125456133,2.1368924385017296,1.3802195373233388
655,0.3893129770992366,0.8222097719261388,77.55725190839695,12.977099236641221,9.465648854961833,1.7346938775510203,42.17687074829932,67.75221878982428,9.80503311857267,76.97020583710031,0.5870460712966485,7.0,4,bottom,True,False,5,2.314452402989183,0.8497621747648253,0.9249729911041742
1612,0.47146401985111663,1.0898121321621053,75.0,13.399503722084367,11.600496277915633,1.8858560794044665,46.40198511166253,62.40879220287893,12.591207797121074,73.99243697901441,1.0075630209855801,7.5,4,bottom,True,False,5,3.0950565564161487,1.097597523977154,0.5087663547973267
