n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,season
278,0.564748201438849,1.0409188894371868,67.98561151079137,18.345323741007196,13.66906474820144,1.7640449438202248,42.69662921348314,56.85032770439534,11.135283806396023,66.39353111121886,1.5920803995725041,9.5,1,top,2023
110,0.45454545454545453,0.9841534612176812,76.36363636363637,10.909090909090908,12.727272727272727,1.9230769230769231,53.84615384615385,63.47364189402819,12.88999446960818,73.98093708387685,2.382699279759515,9.5,1,top,2024
129,0.6356589147286822,1.6084060077519378,70.54263565891473,13.178294573643413,16.27906976744186,2.1578947368421053,55.26315789473685,52.95864210344811,17.583993555466616,68.00322970570132,2.539405953213414,9.5,1,top,2025
113,0.48672566371681414,1.1091972187104928,76.99115044247787,8.849557522123893,14.15929203539823,2.1153846153846154,61.53846153846154,61.463562667121984,15.527587775355888,73.08971244258206,3.901437999895818,7.0,1,bottom,2021
278,0.44964028776978415,0.9126171986598447,74.10071942446042,15.467625899280577,10.431654676258994,1.7361111111111112,40.27777777777778,63.785755552346245,10.31496387211418,73.40944231154296,0.6912771129174655,7.0,1,bottom,2022
96,0.6458333333333334,1.13640350877193,65.625,14.583333333333334,19.791666666666664,1.878787878787879,57.57575757575758,52.422550544540435,13.202449455459565,61.85027774228325,3.774722257716756,7.0,1,bottom,2023
86,0.5930232558139535,1.091244870041039,68.6046511627907,12.790697674418606,18.6046511627907,1.8888888888888888,59.25925925925925,55.265394229377115,13.33925693341358,65.02069946189532,3.5839517008953825,7.0,1,bottom,2024
82,0.2926829268292683,0.35772357723577236,76.82926829268293,18.29268292682927,4.878048780487805,1.263157894736842,21.052631578947366,74.62587218075876,2.2033961119241607,76.77447259717226,0.05479569551066765,7.0,1,bottom,2025
269,0.5055762081784386,0.9598568495810909,72.4907063197026,13.754646840148698,13.754646840148698,1.837837837837838,50.0,60.315793074621894,12.17491324508071,69.71772649143767,2.772979828264932,7.5,1,bottom,2021
478,0.5564853556485355,0.9768865731603553,67.99163179916317,17.573221757322173,14.435146443514643,1.738562091503268,45.09803921568628,57.32201926896436,10.669612530198814,66.06586713428999,1.9257646648731863,7.5,1,bottom,2022
275,0.4581818181818182,0.6433178500331784,70.18181818181817,17.09090909090909,12.727272727272727,1.5365853658536586,42.68292682926829,63.24324780300222,6.938570378815956,68.05705980971004,2.1247583721081376,7.5,1,bottom,2023
366,0.4207650273224044,0.7649374953215061,75.40983606557377,13.661202185792352,10.92896174863388,1.711111111111111,44.44444444444444,65.65443532706233,9.755400738511433,73.53060313413518,1.8792329314385903,7.5,1,bottom,2024
