pregame_total,inning,n,mean_runs,run_variance,variance_to_mean,p0_under_pct,p1_pct,p2_pct,p3plus_pct,fair_under_american,poisson_p0_pct,poisson_zero_residual_pp,nb_p0_pct,nb_zero_residual_pp,p0_ci95_lo_pct,p0_ci95_hi_pct,clean_i1_i8,seasons,season_p0_sd_pp,season_poisson_resid_mean_pp,season_poisson_resid_sd_pp,season_nb_resid_mean_pp,season_nb_resid_sd_pp,seasons_poisson_resid_positive,seasons_poisson_resid_negative,persistent_zero_score
8.0,5,2146,0.9930102516309413,2.1188322395218946,2.1337465912782667,52.79589934762349,22.367194780987884,11.276794035414724,13.560111835973904,-111.84600197433367,37.04598335362884,15.749915993994644,51.489056130416714,1.3068432172067768,50.745573159366266,54.98602050326188,True,5,3.275328120431611,15.73546115648459,2.2338515297127897,1.3479777255849466,1.581947609296299,5,0,4.870327486986842
8.0,6,2145,0.9505827505827505,1.9415866471836623,2.042522490538968,54.07925407925408,21.165501165501166,11.981351981351981,12.773892773892772,-117.76649746192894,38.65157155532411,15.42768252392997,52.14187836574723,1.9373757135068503,51.981351981351985,56.270396270396276,True,5,3.216927645861098,15.392954344519348,1.9600371967213694,2.018201440639822,0.8349874179088959,5,0,5.211989410477057
8.0,7,2144,0.9127798507462687,1.956458157764607,2.1434063823440557,56.809701492537314,19.496268656716417,10.867537313432836,12.826492537313433,-131.53347732181425,40.14068205960225,16.669019432935062,54.4101202912479,2.3995812012894135,54.804104477611936,58.86194029850746,True,5,1.7168321539983487,16.8454757450062,1.8612898035784755,2.455711115030279,1.2554374436883649,5,0,5.825701196742789
8.0,8,2144,0.988339552238806,2.167386135700406,2.192956996197107,54.24440298507462,19.58955223880597,13.013059701492539,13.152985074626866,-118.55249745158001,37.219418722498474,17.024984262576147,52.17515975060708,2.0692432344675438,52.190998134328346,56.25,True,5,1.5235110461735595,17.071082467050875,1.6424590993783517,2.2356080619238505,1.1141428822816415,5,0,6.442856302518113
8.0,9,2143,0.6710219318712086,1.4962980681462195,2.2298795271469736,65.2356509566029,18.33877741483901,8.586094260382641,7.839477368175456,-187.65100671140942,51.11859135912179,14.117059597481108,64.56211718990933,0.6735337666935681,63.22911805879608,67.2421838544097,False,5,2.4915231549651513,14.029087213835158,1.7929354518537683,0.8753280768506656,1.0340354460501775,5,0,5.054559921215194
8.5,1,2871,1.049808429118774,2.1121524023122,2.0119407919835193,51.2365029606409,21.003134796238246,13.061650992685475,14.69871125043539,-105.0714285714286,35.000479341579,16.23602361906189,48.41983213957745,2.816670821063444,49.459247648902824,53.04771856495994,True,5,1.333190052722341,16.020376614025857,1.802624667541466,2.724754146817795,1.0101699918463154,5,0,5.793149474169348
8.5,2,2871,0.896551724137931,1.8656013456686293,2.080863039399625,56.14768373389063,21.38627655869035,10.170672239637756,12.295367467781261,-128.03812549642572,40.79740440452,15.350279329370625,54.45329138486805,1.6943923490225776,54.406130268199234,57.958899338209676,True,5,2.537596578728993,15.191139348422709,1.3668715714355268,1.697742123424979,0.6522951446710844,5,0,6.485472010659436
8.5,3,2871,1.0794148380355277,2.399265998929582,2.22274691285151,51.48032044583769,20.2020202020202,13.444792755137582,14.872866597004528,-106.1019382627423,33.97943021824141,17.500890227596276,49.4052281302492,2.0750923155884946,49.63427377220481,53.22187391152908,True,5,2.2689559712548726,17.631754446498114,1.6376331734177647,2.1772551637560245,0.7580508425283455,5,0,6.635073597030612
8.5,4,2871,0.9958202716823407,2.0306445446899613,2.0391677117190903,52.385928247997214,22.152560083594565,11.494252873563218,13.967258794845003,-110.02194586686174,36.94202952216021,15.443898725837002,50.51908251099403,1.8668457370031866,50.57471264367817,54.30163706025775,True,5,1.732766507288632,15.398572107409962,1.0195175797732705,1.836517665625399,0.696876250488921,5,0,7.647320766363853
8.5,5,2871,1.036224312086381,2.230743091129971,2.15276081164173,52.10727969348659,20.89864158829676,12.852664576802509,14.14141414141414,-108.79999999999998,35.47917390962976,16.628105783856828,50.19585932228551,1.911420371201078,50.26123301985371,53.91849529780565,True,5,3.6912827489967217,16.41192166297007,1.3917697893547305,1.9177673221680227,0.8964841348410906,5,0,6.9522183355041385
