core_stability_rank,sample_tier,pregame_total,inning,N,min_season_n,over05,under05,over_fair_odds,under_fair_odds,annual_sd_pp,annual_range_pp,pooled_se_pp,p2021,p2022,p2023,p2024,p2025
,THIN,10.500000,3,186,11,0.526882,0.473118,-111,111,8.498433,21.826156,3.661349,0.539474,0.481481,0.581395,0.517241,0.363636
,THIN,10.500000,4,186,11,0.559140,0.440860,-127,127,5.871257,15.789474,3.640857,0.565789,0.481481,0.581395,0.551724,0.636364
,THIN,10.500000,5,186,11,0.580645,0.419355,-138,138,4.559125,11.713639,3.619401,0.565789,0.592593,0.534884,0.655172,0.636364
,THIN,10.500000,6,186,11,0.553763,0.446237,-124,124,5.971324,13.072249,3.645709,0.592105,0.481481,0.581395,0.517241,0.454545
,THIN,10.500000,7,186,11,0.532258,0.467742,-114,114,8.679530,21.212121,3.659854,0.631579,0.555556,0.418605,0.413793,0.545455
,THIN,10.500000,8,185,11,0.454054,0.545946,120,-120,7.877779,20.689655,3.660499,0.480000,0.555556,0.348837,0.482759,0.363636
,THIN,10.500000,9,185,11,0.383784,0.616216,161,-161,8.557887,23.376623,3.575317,0.373333,0.370370,0.418605,0.310345,0.545455
,THIN,11.000000,1,124,14,0.564516,0.435484,-130,130,9.741837,25.253456,4.453729,0.548387,0.680000,0.518519,0.592593,0.428571
,THIN,11.000000,2,124,14,0.524194,0.475806,-110,110,7.189284,17.304147,4.487082,0.612903,0.440000,0.592593,0.444444,0.500000
,THIN,11.000000,3,124,14,0.540323,0.459677,-118,118,7.157115,20.184332,4.477557,0.645161,0.560000,0.481481,0.444444,0.571429
,THIN,11.000000,4,124,14,0.475806,0.524194,110,-110,12.377854,32.718894,4.487082,0.387097,0.480000,0.407407,0.518519,0.714286
,THIN,11.000000,5,124,14,0.516129,0.483871,-107,107,17.596044,42.010753,4.488950,0.548387,0.720000,0.407407,0.296296,0.714286
,THIN,11.000000,6,124,14,0.524194,0.475806,-110,110,12.111704,30.645161,4.487082,0.483871,0.560000,0.555556,0.407407,0.714286
,THIN,11.000000,7,124,14,0.459677,0.540323,118,-118,8.421668,22.857143,4.477557,0.419355,0.600000,0.444444,0.370370,0.500000
,THIN,11.000000,8,124,14,0.556452,0.443548,-125,125,12.751558,30.691244,4.462181,0.580645,0.520000,0.629630,0.407407,0.714286
,THIN,11.000000,9,124,14,0.459677,0.540323,118,-118,10.431634,27.407407,4.477557,0.483871,0.320000,0.592593,0.444444,0.428571
